tenor,maturity_years,rate
1M,0.08333333333333333,0.037200000000000004
3M,0.25,0.0368
6M,0.5,0.0359
1Y,1.0,0.0342
2Y,2.0,0.034
3Y,3.0,0.034300000000000004
5Y,5.0,0.0361
7Y,7.0,0.0381
10Y,10.0,0.0404
20Y,20.0,0.0464
30Y,30.0,0.046900000000000004
